symbol,WK0,WK2,WK4,WK8,WK79,Sex
Slc16a14,66.08,155.54,1416.93,2090.73,2232.13,F
Sp100,566.71,1006.66,909.74,836.06,805.45,F
Cab39,585.61,781.75,1070.67,997.12,764.24,F
Itm2c,2722.83,1013.43,659.61,863.08,2184.24,F
Psmd1,4114.55,3108.86,2885.42,3118.09,3545.7,F
Htr2b,55.77,227.33,32.65,63.54,25.87,F
Armc9,535.04,466.34,346.95,339.95,418.87,F
B3gnt7,267.35,461.48,258.62,348.93,359.75,F
Ncl,12103.93,7318.47,6308.64,5916.54,6416.65,F
Ptma,4445.51,2396.16,1719.16,1649.81,1472.57,F
Pde6d,142.27,172.9,146.2,138.47,169.89,F
Cops7b,451.34,376.84,257.33,238.2,330.44,F
Dis3l2,1053.08,630.01,551.44,542.64,656.51,F
Gm38142,90.98,32.33,26.49,15.93,33.48,F
Eif4e2,3650.75,2730.15,2995.61,2446.03,2194.98,F
Efhd1,372.97,565.54,754,726.26,1410,F
Gigyf2,1365.41,2062.66,2005.44,2041.54,1882.18,F
Kcnj13,17.42,101.85,63.25,116.23,53.1,F
Ngef,93.98,252.16,430.97,651.5,971.76,F
Neu2,65.66,232.75,474.06,639.94,474.17,F
Inpp5d,303.45,262.27,162.92,154.7,285.77,F
Atg16l1,364.89,181.89,200.13,179.3,355.45,F
Dgkd,614.31,541.77,627.15,521.06,625.44,F
Gm38365,156.88,36.67,37.37,13.91,36.51,F
Usp40,1037.29,1002.79,918.48,727.5,906.37,F
Ugt1a10,201.01,517.97,1919.79,267.59,110.34,F
Ugt1a7c,145.86,323.83,1734.43,2816.59,2459.68,F
Ugt1a2,4636.2,2255.84,11596.82,17102.67,21135.87,F
Dnajb3,56.11,27.67,20.92,12.62,24.99,F
Ugt1a1,17.17,6.38,40.04,88.73,106.22,F
Mroh2a,76.72,37.14,24.42,11.82,28.58,F
Hjurp,1947.5,914.2,365.54,242.58,416.79,F
Spp2,11774.13,47270.11,28970.69,26522.12,21344.42,F
Arl4c,371,201.93,79.24,100.2,107.59,F
Sh3bp4,968.02,434.42,303.91,343.06,620.73,F
Agap1,930.96,883.28,1064.64,1022.06,1003.97,F
Gm37297,319.52,101.28,133.68,52.59,107.65,F
4930434B07Rik,0,0.52,36.16,172.91,150.1,F
Ackr3,1615.12,2901.7,1991.54,1655.58,2499.08,F
Cops8,3667.89,3130.57,2937.18,3245.23,2592.87,F
Col6a3,741.49,763.95,379.73,199.98,236.29,F
Mlph,35.07,88.99,181.85,221.46,193.27,F
Rab17,415.65,895.96,1094.76,1113.63,1037.88,F
Lrrfip1,1613.1,1994.48,1637.23,1769.66,1654.18,F
Ube2f,580.9,789,1060.58,1074.23,859.5,F
Scly,1191.24,1799.76,3526.2,3700.81,3436.19,F
Ilkap,352.27,264.85,354.01,316.81,353.16,F
Hes6,281.03,128.37,206.69,208.06,568.84,F
Per2,352.1,133.93,101.85,254.12,286.73,F
Traf3ip1,106.45,158.03,177.6,159.34,163.63,F
Asb1,94.93,147.11,142.76,130.85,186.91,F
Hdac4,1916.76,1521.97,1129.95,1220.26,1136.53,F
Ndufa10,4461.31,5667.83,8269.43,8083.21,9029.38,F
Cops9,1703.86,2170.77,3028.86,3111.81,2539.09,F
Gpc1,323.8,155.68,167.23,150.93,154.32,F
Dusp28,113.89,78.92,72.39,77.09,244.92,F
Rnpepl1,320.18,404.43,630.41,600.15,868.05,F
Capn10,295.44,192.94,193.13,155.13,291.94,F
Kif1a,137.42,80.97,9.31,11.6,40.81,F
Mab21l4,98.44,349.05,385.38,420.17,460.85,F
Sned1,195.88,207.28,110.72,103.5,154.34,F
Mterf4,422.56,560.29,727.83,798.19,597.33,F
Pask,287.08,95.14,25.93,17.34,21.11,F
Ppp1r7,1379.14,1472.92,1627.99,1662.41,1343.77,F
Hdlbp,7845.95,5520.67,5575.68,5516.36,6465.45,F
Septin2,19524.96,17659.9,12412.14,10896.16,6456.75,F
Farp2,227.52,322.57,256.91,318.72,387.11,F
Stk25,1488.2,1279.93,1106.79,931.09,1438.29,F
Bok,816.23,713.16,336.29,339.01,627.53,F
Thap4,633.78,1128.04,1823.84,1903.18,1613.81,F
Atg4b,1372.92,1523.92,1383.13,1387.23,1413.02,F
Dtymk,1321.51,1103.13,756.95,712.84,723.36,F
Ing5,890.39,723.25,658.13,753.76,709.48,F
D2hgdh,348.55,538.15,662.65,846.09,965.58,F
Fam174a,77.99,160.99,253.31,235.41,191.64,F
Gm15427,171.91,92.42,92.27,91.51,67.36,F
St8sia4,35.17,61.84,36.55,43.56,59.6,F
Slco4c1,301.2,750.38,1383.97,558.55,368.36,F
Panct2,42.77,84.13,122.91,80.18,54.45,F
Macir,175.27,208.16,364.15,367.01,352.06,F
Ppip5k2,1344.23,863.73,583.04,517.96,419.47,F
Gin1,245.21,385.79,456.9,437.96,345.84,F
Pam,1122.96,2336.16,2123.43,1882.47,1034.28,F
Btf3-ps1,130.27,70.59,72.84,84.52,65.82,F
B230216N24Rik,94.92,61.45,203.73,104.01,85.49,F
Gm29012,0,17.5,48.24,35.96,8.62,F
Rnf152,114.57,516.77,530.89,463.36,379.7,F
Pign,469.34,362.39,315.37,263.19,273.07,F
Relch,742.1,477.15,474.48,362.36,318.62,F
Tnfrsf11a,70.76,70.65,47.4,40.62,42.83,F
Zcchc2,334.87,175.07,189.99,202.38,171.27,F
Phlpp1,184.26,170.13,222.8,212.14,225.34,F
Bcl2,804.81,432.18,358.95,315.94,453.34,F
D630008O14Rik,22.29,86.08,5.52,4.26,4.7,F
Kdsr,966.39,1224.17,1555.68,1895.68,1625.91,F
Vps4b,1002.58,1092.85,1131.21,1026.73,1252.17,F
Serpinb8,58.24,613.64,783.76,654.13,525.75,F
Dsel,173.42,106.34,58.85,57.37,52.03,F
Tsn,5066.5,4470.04,4400.4,4178.02,3596.37,F
Nifk,1258.01,986.03,911.36,938.93,737.59,F
Clasp1,1335.27,723.58,454.58,455.08,622.28,F
Tfcp2l1,4429.78,7965.85,6690.83,6503.47,6771.17,F
Gli2,127.77,28.37,1.57,3.13,5.12,F
Ralb,2796.74,1948.2,1693.2,1678.06,1814.47,F
Tmem185b,291.14,327.11,346.61,342.77,582.46,F
Epb41l5,2629.85,2457.08,3130.65,3225.26,2783,F
Gm37219,440.35,196.71,265.15,115.34,143.17,F
Ptpn4,164.11,231.65,356.31,277.11,183.92,F
Tmem177,272.63,641.89,745.88,788.71,738.48,F
Tmem37,5020.44,9163.9,9198.61,9320.02,9392.91,F
Dbi,5581.46,13354.55,25317.2,27582.78,19866.5,F
3110009E18Rik,90.62,140.12,138.84,155.88,97.49,F
Steap3,171.1,877.56,1011.88,1138.12,1416.86,F
Insig2,884.66,1682.93,2162.22,2327.7,1866.91,F
Ccdc93,339.71,409.85,402.42,366.39,455.27,F
Ddx18,442.6,350.1,387.42,410.59,334.19,F
Actr3,1277.13,1228.31,1342.79,1275.53,1342.64,F
Slc35f5,587.22,902.82,773.46,651.97,765.39,F
Gpr39,88.82,90.97,64.9,108.33,93.92,F
Nckap5,373.53,249.06,220.85,176.38,218.37,F
Mgat5,978.71,791.84,909.17,841.26,878.7,F
Acmsd,1938.97,1165.95,4930.08,3459.91,3195.12,F
Ccnt2,1434.26,846.64,768.68,630.84,799.85,F
Rab3gap1,1291.96,1343.21,1349.16,1553.96,1762.06,F
Zranb3,190.73,157.9,70.11,67.75,82.95,F
R3hdm1,1686,1137.29,1101.99,901.63,908.25,F
Ubxn4,1501.93,1458.51,1921.26,1910.24,1748.58,F
Mcm6,3298.07,1905.4,698.25,630.58,780.72,F
Dars,2812.99,2521.23,2781.55,2906.46,2220.66,F
Cxcr4,109.77,50.89,25.77,24.71,28.67,F
Cd55,269.2,269.89,266.79,334.7,224.45,F
C4bp,94.64,42.47,17.29,9.63,4.28,F
Pfkfb2,145.16,154.41,125.42,134.28,153.84,F
Yod1,2545.1,1536.27,1745.77,1618.02,1104.18,F
AA986860,255.56,701.56,520.65,760.64,584.23,F
Fcamr,0.41,15.41,49.53,91.77,91.91,F
Gm15848,2.24,30.87,172.39,210.19,122.76,F
Pigr,5.81,70.13,508.58,1028.61,1963.38,F
Mapkapk2,336.38,210.97,253.01,217.85,373.71,F
Eif2d,1228.68,1355.1,1389.29,1367.6,1191.04,F
Rassf5,56,88.21,80.84,105.99,176.96,F
Ikbke,111.81,106.22,79.17,69.69,98.95,F
Srgap2,602.81,567.25,383.37,312.31,380.74,F
Ctse,533.87,154.42,87.17,358.94,176.09,F
Rab7b,57.39,80.49,96.19,147.67,186.07,F
Pm20d1,292.5,746.93,1537.19,2201.92,2321.52,F
Slc41a1,376.47,352.66,274.35,323.7,554.26,F
Rab29,270.18,508.2,525.02,498.83,567.9,F
Nucks1,3732.32,2525.02,2105.6,1817.86,1576.55,F
Slc45a3,159.46,407.32,778.08,892.7,877.46,F
Elk4,596.84,607.11,595.49,525.19,465.8,F
Mfsd4a,964.61,1672.72,3326.1,3276.94,5114.21,F
Cdk18,330.54,509.45,824.87,685.27,577.68,F
