symbol,SexDiff_log2FC,ArKObulk_log2FC,ArKOsn_log2FC,Sex
Slc22a12,-1.84942884252366,-0.787929398677373,1.52335157891408,M
Slc22a22,-1.48531448767195,-1.10110561725053,-1.85233040218382,M
Slc22a28,-2.86491978114173,-1.84120824532714,-2.32519100092484,M
Slc22a29,3.661230355201,1.81012580166108,1.89169440364667,F
Slc22a30,-4.17380952646125,-2.68349457243036,-2.19815855630039,M
Slc39a5,0.721187228500106,0.521179625907883,1.93068853526253,F
Slc46a3,-1.32993021392903,-1.04251191567399,-1.48783685870292,M
Slc5a8,-1.38311639538732,-1.43872355307317,-0.953809969127237,M
Slc7a12,5.49684233347308,5.03210005688469,3.68398310919473,F
Slc7a13,-8.01046032673428,-4.00961448228422,-4.5261763358973,M
Slco1a1,-9.81252394586327,-4.89402074383219,-9.15212580240974,M
Slco3a1,-1.60329731308478,-1.62779609076687,-1.99423498882139,M
Smcp,-2.13251032543746,-2.49413947684743,-2.06026632513446,M
Spp1,1.32933910258426,1.39291107724677,2.76076353382022,F
St3gal2,0.528085211752613,0.655156603329827,2.12551344859967,F
Ston2,1.04458445433547,0.508294032870075,2.05501667026473,F
Sucnr1,-1.25773189385162,-1.34154706990643,-2.58027338401485,M
Syt14,-0.687154267910372,-0.766191952978237,-1.99716167898163,M
Tbx10,-4.07959552023631,-3.27000044552893,-2.23923646617978,M
Tc2n,-3.16960823102303,-2.712817198878,-3.48412352530331,M
Tgfb2,1.9097178892385,1.17729193252395,4.04616575268247,F
Timd2,-3.68388224024042,-2.40308380725645,-4.13000739642502,M
Tmco3,-0.996828153621233,-1.2523696969705,-1.72025707929851,M
Tmem178,-1.01815954093807,-0.948843758657902,-1.32943427515136,M
Tmem237,-0.94128615689861,-1.12338479717577,-1.85221334307053,M
Tmem26,-0.516915416049815,-1.39088825181535,-3.13838770105165,M
Tmem37,0.854374123694299,0.840778279869818,1.72123516963358,F
Tmigd1,-1.83614340330911,-1.39110238975226,-1.70143239882795,M
Trim46,1.31800916400441,0.673651275754881,1.93068853526253,F
Ttc39c,-1.17836840668546,-1.38155163616424,-1.0528233419489,M
Ubiad1,-0.969451294753147,-0.938354955922915,-1.59649392222238,M
Ugt2b37,-6.39182773773143,-3.58322450995023,-5.38219442002182,M
Ugt2b38,-3.37553841793249,-2.37395307128568,-2.56798749453339,M
Ugt8a,-3.18052955592794,-2.49311787746858,-10.1758744051824,M
Vps8,-1.25788152423822,-1.22290062141602,-0.934690449520653,M
Wdr81,-0.814715526409076,-0.740974360202286,-1.23225003586367,M
Wfdc2,0.855644067369204,1.08693633709269,2.99780273112107,F
Zfp385b,1.68839602720634,0.663874906275153,2.87107262819741,F
