symbol	Six2-Ar-KO	Sox2-Ar-KO	Sex	FvsM
Nap1l5	0.597008732048531	0.747387277215979	F	1.51192780789088
Nat2	-1.02903113618428	-1.1997203253863	M	-1.46665440083577
Nat8	-1.18943628205693	-1.3107912573728	M	-1.62463614185947
Nat8f2	-0.900303208098898	-2.32920919075444	M	-2.12783879317756
Nat8f5	-1.25401919187171	-1.58812422917903	M	-2.5922151207992
Neu1	-0.627129226951449	-0.726079975351199	M	-0.772827259479109
Nhp2	-1.10386724527932	-1.49834619314421	M	-1.20073437069663
Nlrc4	-1.49156646129885	-2.48147152890521	M	-1.917058040689
Npnt	0.596826181168365	0.264009748124159	F	0.599219359203404
Nr1h4	-0.892966719839321	-0.747005623728808	M	-1.34434549149369
Nt5c3b	0.688481770319052	0.616971667998726	F	0.987118878134658
Nudt19	-1.58685745467675	-1.61078257257489	M	-1.46716465937725
Oat	0.841100430450168	1.21951844999688	F	1.21338960707392
Odc1	-1.49043815360339	-1.32988050125828	M	-1.62862549109093
Olfm4	-1.09016539063101	-1.31898938666116	M	-1.52493935633943
Ormdl3	0.442309359655106	0.208972758119894	F	0.67037453715382
Osr2	0.00790129823647026	-0.108680428125499	F	0.883201945297399
Padi2	0.428841031806507	1.88399111339805	F	2.37295257724771
Pank1	-1.58705572555318	-1.51259169416844	M	-2.26720839085026
Paqr7	-1.00353823543088	-1.44104212437296	M	-1.36478660244506
Parm1	0.560706336337936	0.0816083014103621	F	0.757055631762041
Parp10	-0.36562626510063	-0.128983311100287	M	-0.764769123493371
Pcdh1	-0.506685607812314	-0.111251430172128	M	-0.693584914776211
Pctp	-0.736810481458624	-0.833628127686461	M	-0.830636988683259
Pde3b	0.322963548262255	0.817891534465266	F	0.938088065803585
Pdss1	-0.865764303317655	-0.752475031054833	M	-0.819602322120507
Pdzrn3	-0.787347507215326	-0.981522377478197	M	-0.875203451662407
Pecr	-0.926496319593659	-1.4744957529411	M	-1.40347620355143
Pepd	-0.614516456272551	-0.621725777131979	M	-0.659629386028444
Phyh	-0.700906877932342	-0.78969691733178	M	-0.629415188895609
Pi4ka	-0.944474618441481	-0.501620942953504	M	-1.72458008679806
Pid1	0.868766206589162	0.570636548690819	F	0.684737776497765
Pigr	0.132878028512014	0.398136725253946	M	-1.29484108895978
Pipox	-0.508986745715219	-0.569639619082036	M	-0.694621486594013
Plbd1	0.60961590479432	0.612907433910249	F	1.07710407902763
Plekha8	-1.01069060123409	-0.67771156534248	M	-0.96366840312177
Plpp5	0.821553662956176	0.720255980425082	F	0.686131869325235
Plppr4	1.00257633576135	1.14129733949528	F	1.72755892032453
Ppic	0.090034835825478	0.0284876980529567	F	0.518278875719997
Ppt2	-1.00453956780799	-1.18995017710335	M	-0.992900117926588
