symbol,tested,sum_a,sum_b,common_mean,dispersion,mean_a_sizenorm,mean_b_sizenorm,log2FC,p,p_adj,significant,Direction
Gm13306,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm13305,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Ccl21b,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm21980,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm21953,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Fam205a3,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm21586,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Fam205a2,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm10591,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Ccl27b,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Il11ra2,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
4930578G10Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm12395,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
